Nama Tanaman,Nama Ilmiah,Tahap Menanam,Detail Kegiatan,gambar,source
Timun,Cucumis sativus,Tahap 1: Tahap Persiapan,"1. Tunggu sampai tanah menghangat.
Mentimun sensitif pada suhu dingin, sebaiknya ditanam di bulan April atau Mei setelah cuaca mulai hangat. Tunggu dua minggu setelah tanggal cuaca terdingin terakhir dan pastikan suhu tanah minimal 18,2 derajat Celcius. Mentimun membutuhkan drainase yang baik dan setidaknya 6-8 jam sinar matahari setiap hari. Berikan pupuk organik dan cukup air, tapi jangan terlalu banyak. Jaga tanaman tetap sehat dengan memangkas daun mati dan membuang buah yang rusak. Pertimbangkan menanam varietas mentimun yang tahan terhadap cuaca dingin atau menggunakan penutup tanaman untuk melindungi dari cuaca buruk.",,
,,,"2. Pilihlah lokasi yang disinari matahari.
Selain itu, mentimun juga membutuhkan air yang cukup untuk tumbuh dengan baik. Pastikan tanah tempat mentimun ditanam memiliki drainase yang baik agar tidak tergenang air dan mengakibatkan kerusakan pada akar mentimun. Saat menanam, berikan pupuk organik ke tanah dan pastikan untuk menyediakan cukup air untuk mentimun Anda. Namun, jangan terlalu banyak memberikan air, karena kelebihan air dapat menyebabkan akar mentimun membusuk dan tanaman mati.
Saat mentimun tumbuh, pastikan untuk memangkas daun yang mati atau rusak dan membuang buah mentimun yang busuk atau rusak. Ini akan membantu menjaga tanaman tetap sehat dan produktif. Jika Anda ingin memperpanjang musim panen mentimun Anda, pertimbangkan untuk menanam varietas mentimun yang tahan terhadap cuaca dingin atau menggunakan penutup tanaman untuk melindungi tanaman dari embun beku atau cuaca dingin. Dengan mengikuti tips ini, Anda dapat menanam mentimun yang sehat dan lezat di kebun Anda sendiri.",,
,,,"3. Buang semua rumput liar.
Gali rumput liar dari kebun Anda sebelum menanam mentimun. Selain tidak sedap dipandang, rumput liar juga menyerap nutrisi berharga yang terkandung dalam tanah. Untuk hasil terbaik, cabut rumput liar dengan tangan dan tarik akar sebanyak mungkin. Jika akarnya dibiarkan, kemungkinan besar rumput liar akan kembali tumbuh. Hindari penggunaan herbisida. Bahan kimia dan herbisida organik dapat mengurangi kualitas tanah untuk ditumbuhi tanaman, termasuk mentimun.",,
,,,"4. Beri pupuk pada tanah. 
Selain itu, jangan lupa untuk memperhatikan jarak tanam mentimun. Pastikan untuk menanam mentimun dengan jarak yang cukup agar tidak saling berdesakan dan mengganggu pertumbuhan satu sama lain. Jika Anda menanam mentimun secara vertikal, pastikan untuk memberikan dukungan yang cukup agar tanaman tetap stabil dan tidak roboh.
Saat mentimun tumbuh, pastikan untuk memeriksa tanaman secara teratur dan mengambil tindakan jika ada tanda-tanda serangan hama atau penyakit. Jika diperlukan, gunakan pestisida organik atau kimia dengan dosis yang tepat untuk mengendalikan hama dan penyakit tanaman.
Terakhir, panen mentimun Anda saat sudah matang dengan memotong tangkainya dengan pisau atau gunting. Jangan menarik mentimun dari tanah karena dapat merusak akar dan tanaman. Simpan mentimun Anda di tempat yang sejuk dan kering untuk menjaga kualitasnya. Dengan mengikuti tips ini, Anda dapat menanam mentimun yang sehat dan lezat di kebun Anda sendiri.",,
,,,"5. Seimbangkan pH tanah Anda. 
Idealnya, pH tanah harus netral atau mengandung sedikit alkalin. Dengan demikian, pH tanah seharusnya berada sedekat mungkin ke angka 7.
Uji pH tanah dengan alat tes pH yang bisa dibeli di toko perkebunan dan swalayan.
Jika pH tanah perlu dinaikkan, berikan Kaptan atau kapur pertanian.
Jika pH tanah perlu diturunkan, gunakan sulfur atau aluminium sulfat.",,
,,,"6. Tingkatkan kualitas tanah.
Jika tanah terlalu padat atau berpasir, mentimun akan sulit menumbuhkan akarnya sehingga kemungkinan mati atau paling tidak tidak menghasilkan mentimun yang bisa dimakan.
Tanah yang ideal untuk mentimun yaitu gembur, ringan, dan berpasir,karena tanah ini lebih cepat dan tidak gampang dingin.
Tingkatkan kualitas tanah liat dengan menambahkan bahan organik. Tingkatkan tanah padat dan berat dengan gambut, kompos, atau kotoran yang membusuk.",,
,,,,,
,,Tahap 2: Tahap Penanaman,"1. Pilihlah varietas terbaik untuk kebun Anda.
Ada dua varietas mentimun yaitu sulur dan semak. Varian sulur lebih umum, sedangkan semak lebih mudah dirawat dalam ruangan terbatas. Ada juga varian slicing atau pickling. Varian slicing seperti burpless, marketmore 76, dan straight 8, sedangkan varian semak seperti the bush crop, fanfare, dan salad bush. Varian pickling seperti the bush pickle dan the Carolina, yang kedua harus diperlakukan sebagai tanaman sulur.",,
,,,"2. Mulailah dari benih.
Setelah memindahkan bibit mentimun ke tanah, pastikan untuk memberikan air yang cukup dan jangan terlalu sering memberi pupuk agar akar dapat menyebar dengan baik. Jangan lupa untuk memberikan dukungan yang cukup agar tanaman tetap stabil dan tidak roboh. Jika mentimun tumbuh dengan baik, pastikan untuk memeriksa tanaman secara teratur dan mengambil tindakan jika ada tanda-tanda serangan hama atau penyakit. Terakhir, panen mentimun Anda saat sudah matang dengan memotong tangkainya dengan pisau atau gunting. Dengan mengikuti tips ini, Anda dapat menanam mentimun yang sehat dan lezat di kebun Anda sendiri.",,
,,,"3. Lembapkan tanah.
Gunakan penyiram tanaman atau selang untuk membasahi tanah sebelum bibit ditanamkan.
Cukupnya kelembapan sangat penting pada semua tahap pertumbuhan mentimun. Basahi tanah sebelum benih ditanam untuk mencegah benih hanyut karena tekanan air.
Jika tanah benar-benar kering, tambahkan sekitar 2,5 cm air ke tanah menggunakan penyiram tanaman atau selang.",,
,,,"4. Tekan benih masuk ke dalam tanah.
Pastikan untuk menyiram tanaman secara teratur dan memberikan pupuk dalam dosis yang tepat sesuai dengan petunjuk pada kemasan. Jangan terlalu banyak memberikan air, karena kelebihan air dapat menyebabkan akar mentimun membusuk dan tanaman mati.
Saat mentimun tumbuh, pastikan untuk memangkas daun yang mati atau rusak dan membuang buah mentimun yang busuk atau rusak. Ini akan membantu menjaga tanaman tetap sehat dan produktif.
Jika Anda ingin memperpanjang musim panen mentimun Anda, pertimbangkan untuk menanam varietas mentimun yang tahan terhadap cuaca dingin atau menggunakan penutup tanaman untuk melindungi tanaman dari embun beku atau cuaca dingin. Dengan mengikuti tips ini, Anda dapat menanam mentimun yang sehat dan lezat di kebun Anda sendiri.",,
,,,"5. Persiapkan terali
Sebagian besar mentimun, terutama varietas sulur, akan membutuhkan penyangga vertikal saat bertumbuh. Siapkanlah setelah menanam benih supaya Anda tidak repot di kemudian hari.
Mentimun akan tumbuh secara horizontal, tetapi jika ditumbuhkan secara vertikal aliran udara dan paparan sinar matahari pada tanaman akan meningkat sehingga hasil panen nanti akan bagus.
Anda bisa menggunakan terali kandang, tongkat, pagar, atau hampir semua benda vertikal lain.
Pandu sulur ke terali Anda. Seiring pertumbuhan tanaman, pandulah sulur ke terali dengan melilitkan sulur mentimun secara hati-hati di sepanjang terali.
",,
,,,,,
,,Tahap 3: Tahap Perawatan dan Pemanenan,"1. Tambahkan mulsa ketika tunas telah tumbuh. 
Menutupi tanah dengan mulsa akan membatasi jumlah rumput liar penyerap nutrisi tanah yang dapat kembali sembari menjaga tanah tetap hangat dan sesuai untuk mentimun.
Mulsa organik, contohnya jerami dan serpihan kayu, harus diberikan setelah tunas tumbuh dan tanah telah cukup hangat. Mulsa plastik secara teknis dapat diberikan segera setelah menanam benih.
Mulsa gelap sangat baik dalam menjaga kelembapan dan kehangatan tanah.",,
,,,"2. Beri air secara teratur.
Mentimun membutuhkan banyak kelembapan selama seluruh siklus hidupnya.
Siram sedikitnya setiap minggu menggunakan selang atau penyiram tanaman. Berikan air sampai sedikitnya 2,5 cm setiap kalinya.
Jika tidak, pasanglah sistem irigasi tetes untuk mengatur aliran air supaya lebih konsisten. Hal ini sangat menguntungkan karena dapat menjaga dedaunan tetap kering dan membatasi risiko penyakit dari jamur.
Perlu dicatat bahwa kelembapan yang cukup sangat penting ketika buah sudah mulai muncul.",,
,,,"3. Beri pupuk setiap dua minggu.
Gunakan pupuk cair ringan setiap dua minggu untuk menjaga kualitas tanah yang baik bagi tanaman mentimun. Hindari memberikan pupuk buatan pada daun atau buah mentimun. Jika tanah telah dipupuki sebelum menanam mentimun, ulangi ketika tunas muncul pada sulur dan kuncup bunga mulai muncul. Jangan terlalu banyak memberikan pupuk karena bisa menghambat pertumbuhan buah dan mengurangi hasil panen.",,
,,,"4. Lindungi tanaman dengan jaring. 
Mencegah hama pada tanaman mentimun dengan menggunakan jaring dan pagar. Jaring harus kuat dan digunakan pada tahap awal penanaman untuk menghindari hewan kecil merusak benih dan tunas. Tanaman juga bisa ditutupi dengan keranjang kecil. Jaring harus dilepas ketika tanaman sudah terlalu tinggi atau besar.",,
,,,"5. Awasi tanaman dari hama dan penyakit.
Untuk membasmi serangga dan jamur pada tanaman mentimun, bisa menggunakan insektisida atau fungisida organik. Hama-hama yang perlu diawasi antara lain kumbang mentimun, lalat putih, kutu aphid, dan spider mite. Penyakit umum yang perlu diawasi antara lain bacterial wilt, mosaic virus, anthraknosa, downy mildew, powdery mildew, dan penyakit koreng.",,
,,,"6. Panenlah mentimun ketika masih muda.
Buah mentimun ukurannya kira-kira sepanjang 15,24-20,32 cm. Buah mentimun biasanya juga dapat dicabut dari sulur tanpa menggukan sabit.
Mentimun Pickling biasanya dipanen ketika panjangnya 5 cm dan mentimun dil dipanen ketika panjangnya 10-15,24 cm.
Mentimun yang terlalu besar dan menguning rasanya bisa agak pahit. Jangan pernah biarkan buah mentimun sampai berwarna kuning di sulur.
Pada masa puncak panen, Anda mungkin akan memanen mentimun sampai beberapa hari sekali.",,
Teh,Camellia sinensis.,1. Menyiapkan Biji,"1. beli biji Camellia sinensis untuk hasil terbaik. Tanaman teh memiliki dua jenis utama. Sinensis disarankan karena tanaman ini kuat dan Anda bisa membuat teh hitam, hijau, dan putih dari daunnya. Anda bisa membeli bijinya dari kebun bibit setempat atau dari internet",,
,,,"2. Tanamlah teh dalam bentuk anakan kalau Anda ingin langsung melompat ke proses pertumbuhan. Anda juga memiliki pilihan untuk menyetek batang dari tanaman yang sudah ada atau membeli anakan dari kebun bibit. Pilih opsi ini kalau tidak ingin melewati proses perkecambahan biji. Kalau Anda memilih untuk menanam teh dari anakan atau setek, tanaman harus dirawat di dalam ruangan selama setahun sebelum dipindahkan ke luar",,
,,,3. Rendam biji. Masukkan biji teh ke dalam mangkuk atau wadah berisi air. Pastikan airnya cukup banyak supaya biji terendam sepenuhnya. Rendamlah selama 24-48 jam. Perendaman akan membantu biji menyerap air sehingga mempercepat proses perkecambahan,,
,,,"4. Pindahkan biji teh ke dalam wadah berisi vermikulit, letakkan 2-3 biji per wadah, dan simpan di tempat yang hangat dan terang. Tutup dengan vermikulit kasar dan biarkan biji berkecambah selama 6-8 minggu sebelum menanamnya.",,
,,,"5. Jaga agar vermikulit tetap lembap. Selama 6-8 minggu, periksa vermikulit setiap hari untuk melihat tingkat kelembapannya. Kalau kering, siramlah. Namun, jangan sampai becek. Media tanam harus tetap lembap sepanjang waktu",,
,,,"6. Pastikan biji sudah berkecambah dengan sempurna. Setelah 6-8 minggu, periksa apakah biji teh sudah berkecambah. Biji yang sudah berkecambah akan menumbuhkan akar-akar kecil dan sepasang daun. Setiap biji berkecambah dengan kecepatan yang berbeda.",,
,,2. Menanam Pohon Teh,"1. Pisahkan dan tanam anakan teh di dalam pot terpisah dengan tanah asam yang memiliki pH ideal sekitar 6-6,5. Letakkan pot di tempat hangat dan teduh, dan pastikan tanah tetap lembap dengan menyemprotkannya secara teratur. Uji pH tanah dan tambahkan unsur-unsur seperti belerang dan daun pinus untuk membuatnya lebih asam jika perlu.",,
,,,"2. Tanam teh pada musim hujan untuk hasil terbaik, dan pastikan tanaman tidak terkena cuaca beku. Di daerah subtropis dan tropis, teh dapat ditanam kapan saja.",,
,,,3. Pindahkan teh ke pot besar atau tanam di kebun setelah mencapai tinggi 20 cm. Tanah harus sedikit asam dan drainase yang baik. Letakkan di tempat yang sebagian terang dan teduh dengan paparan sinar matahari minimal 6 jam sehari.,,
,,,"4. Siram teh setiap hari dengan air lunak dan pastikan tanah lembap tetapi tidak becek. Jika tanaman tampak kurang subur, berikan pupuk ericaceous di sekitar tanaman.",,
,,,"5. Tunggu beberapa tahun sampai tanaman dewasa. Butuh waktu sekitar tiga tahun sampai pohon teh menjadi dewasa. Artinya, Anda tidak bisa memanen daunnya sebelum itu. Setelah pohon teh mencapai tinggi sekitar 1 meter, daunnya siap dipanen.",,
,,3. Memanen Daun Teh,"1. Petik 2-3 daun berwarna hijau cerah. Setelah tanaman mencapai tinggi sekitar 1 meter, daunnya siap dipanen. Biasanya, dedaunan akan tumbuh lebih lebat pada musim hujan dibandingkan musim kemarau. Untuk memanennya, gunakan jari dan jempol untuk memetik 3-4 daun berwarna hijau cerah. Daun hijau ini siap untuk dijadikan minuman teh",,
,,,2. Panenlah beberapa kali sepanjang musim. Daun teh bisa dipanen berkali-kali sepanjang musim. Petik saja kapan pun Anda melihat beberapa daun hijau cerah muncul untuk membantu tanaman tumbuh lebih cepat.,,
,,,"3. Petik daun muda yang belum terbuka untuk teh putih. Jemur di bawah sinar matahari, sangrai, dan simpan dalam wadah kedap udara.",,
,,,"4. Buat teh hijau dengan cara menjemur dan menyangrai daun teh, lalu panggang selama 20 menit pada suhu 120 °C. Simpan di wadah kedap udara. Untuk membuat teh hijau menggunakan rice cooker, masukkan kertas penyerap air dan biarkan daun teh dipanaskan selama 3-4 jam.",,
,,,"5. Buat teh hitam dengan cara menggiling dan mengeringkan daun, lalu jerang atau simpan di wadah kedap udara. Sebagai alternatif, panggang dalam oven selama 20 menit pada suhu 120 °C.",,
,,,"6. Olah daun segar menjadi teh oolong dengan menjemurnya, diamkan, dan keringkan di dalam oven. Simpan di wadah kedap udara agar tetap kering dan tahan lama.",,
,,,7. Buat teh dengan menyeduh daun teh dalam kantong teh atau saringan selama 3 menit. Tambahkan pemanis jika diinginkan. Anda juga bisa mencampurkan dengan herba seperti lavendel untuk rasa floral.,,
Sawi,Brassica juncea,1. Menanam Sawi,"1. Tentukan apakah area cukup hangat untuk menanam sawi. Tanaman ini kuat dan dapat bertahan selama musim dingin pada Zona 7 dan lebih tinggi. Pada iklim yang lebih dingin, Anda dapat menanam benih pada awal musim semi dan memanennya selama musim gugur.",,
,,,"2. Belilah bibit sawi, Untuk membeli benih sawi, jika tidak tersedia di toko benih lokal, Anda dapat memesannya dari perusahaan benih melalui katalog atau daring. Pilihlah jenis benih seperti Tokyo Bekana dan Komatsuna yang cocok untuk ditanam di dalam pot kebun dan digunakan pada salad.",,
,,,"3. Gunakan tanah dengan pH antara 6 dan 6,5 atau potting mix saat menanam benih sawi. Pastikan tanah gembur di dalam wadah besar dan campurkan pupuk kompos sebelum menanam untuk meningkatkan kualitas tanah.",,
,,,"4. Tanam benih sawi dengan jarak sekitar 0,3 m dalam media tanam, dengan kedalaman 5 mm hingga 1 cm. Tanam beberapa benih dalam kelompok per pot dan pertahankan tanaman yang paling kuat. Sawi juga dapat ditanam di pinggiran kebun, kotak jendela, sisi jalan, atau area tanam bunga.",,
,,,"5. Tanam benih pada bulan Februari jika Anda dapat menutupi dan menjaganya dengan pelindung. Sawi dapat bertahan saat musim dingin, dan iklim yang sedikit dingin dapat membuat rasanya lebih manis.",,
,,,"6. Lanjutkan menanam barisan pendek benih setiap tiga minggu untuk memastikan panen yang berkelanjutan. Benih akan bertunas dalam tujuh hingga 10 hari. Jika musim panas terasa sangat panas, hentikan menanam dan lanjutkan kembali pada musim gugur.",,
,,2. Menumbuhkan Sawi,"1. Letakkan wadah atau media tanam di bawah matahari untuk mempercepat pertunasan. Lindungi tanaman jika cuaca terlalu panas, karena sawi dapat menjadi prematur pada cuaca yang panas.",,
,,,"2. Jaga kelembapan tanah. Anda mungkin perlu untuk menyiram wadah setiap hari atau setiap beberapa hari. Jika tanah mengering, benih juga akan menjadi kering.",,
,,,3. Siangi tanah secara terus-menerus. Sawi tidak dapat tumbuh bersama dengan tanaman lain.,,
,,,"4. Pindahkan tanaman ke area yang lebih dingin jika cuaca menjadi sangat panas. Tanaman akan menjadi prematur pada cuaca yang kering atau sangat panas.
",,
,,3. Memanen Sawi,"1. Panenlah dengan memotong beberapa daun terluar dari tanaman. Jangan memotong semua daun sekaligus. Semakin besar daun, semakin pahit rasanya.",,
,,,2. Ambil semua sawi dan masukkan ke dalam kulkas jika Anda ingin agar sawi lebih awet.,,
Kentanf,Solanum tuberosum,1. Menanam Kentang,1. Waktu yang tepat untuk menanam kentang di Indonesia adalah di dataran tinggi dengan suhu antara 14-22 derajat Celsius. Kentang lebih cocok ditanam pada musim kemarau untuk menghindari suhu udara yang tinggi dan curah hujan yang tinggi yang dapat menyebabkan masalah pada pertumbuhan dan pembentukan umbi.,,
,,,"2. Pilihlah tempat yang banyak mendapat sinar matahari. Meskipun kentang lebih suka lingkungan yang sejuk, tanaman ini juga suka sinar matahari dan akan tumbuh subur di tempat yang mendapat sinar matahari selama beberapa jam setiap hari. Anda boleh menanam kentang di mana pun Anda suka, seperti langsung di tanah atau bak tanaman",,
,,,"3. Siapkan lahannya. Lahan terbaik untuk menanam kentang adalah lahan yang gembur dan sedikit asam. pH ideal lahan untuk menanam kentang adalah 5,0-7,0. Anda bisa meningkatkan keasaman lahan dengan memberi pupuk kandang, pupuk kompos, atau pupuk berkalium tinggi.",,
,,,"4. Untuk menanam kentang, semai bijinya dan biarkan bertunas di tempat yang terkena cahaya dengan suhu antara 15-21 derajat Celsius selama dua minggu sebelum menanam. Gunakan umbi kentang yang kecil dan sehat sebagai biji, dan jika ukurannya besar, Anda dapat membelahnya menjadi dua atau tiga bagian dengan minimal dua mata atau tunas pada setiap bagian. Pastikan umbi kentang yang digunakan belum disemprot dengan inhibitor tunas agar tunas dapat terbentuk dengan baik.",,
,,,"5. Buat lajur garitan pada lahan. Setelah kentang bertunas dan siap ditanam, gunakan sekop atau garu untuk membuat parit sedalam 10 cm pada bak tanaman. Lajur garitan ini seharusnya cukup dalam untuk kentang dan berjarak sekitar 90 cm satu sama lain. ",,
,,,"6. Tanam bibit kentang. Letakkan bibit kentang langsung pada garitan dengan mengarahkan tunasnya ke atas. Beri jarak antarbibit sejauh 30 cm. Setelah mengisi satu lajur garitan dengan bibit kentang, tutupi permukaannya dengan 10 cm tanah.",,
,,2. Merawat kentang,"1. Sirami kentang secara teratur untuk menjaga kelembapan tanah tetapi hindari genangan air. Pastikan kentang menerima sekitar 5 cm air setiap minggu, terutama saat berbunga, dan berhenti menyirami saat daunnya kuning dan layu sebagai tanda kentang siap dipanen.",,
,,,"2. Tambahkan tanah di sekitar dasar tanaman kentang saat tumbuh, terutama setelah mencapai tinggi 15 cm, untuk membentuk gundukan tanah yang mencegah paparan sinar matahari dan mendukung pertumbuhan tanaman. Hindari paparan sinar matahari yang dapat menyebabkan pembentukan senyawa beracun, seperti solanin, dengan mencegah lapisan hijau pada umbi kentang.",,
,,,3. Basmi gulma di kebun kentang secara teratur. Kentang akan tumbuh lebih subur jika tidak harus bersaing dengan gulma. Cabut atau tariklah gulma yang tumbuh di bak tanaman agar kentang bisa mendapatkan seluruh nutrisi yang dibutuhkan.,,
,,3. Menyimpan dan Menyimpan Kentang,"1. Panen kentang baru setelah berhenti berbunga dan tunggu selama 2 minggu setelah berhenti berbunga sebelum menggali umbinya dari tanah. Kentang baru memiliki ukuran lebih kecil dan kulit yang lebih halus daripada kentang dewasa, sering kali dipanen untuk memberi ruang bagi kentang lain tumbuh dewasa.",,
,,,"2. Pangkas dedaunan kentang yang menguning dan berubah menjadi cokelat saat mulai mati dengan gunting kebun. Setelah daun mati, tunggu selama 2 minggu sebelum memanen umbi kentang.",,
,,,3. Gali umbi kentang dari tanah setelah semua daun kentang mati dan menunggu selama 2 minggu untuk kentang dewasa. Gunakan cangkul atau sekop kecil secara hati-hati saat menggali agar kentang tidak terluka. Waktu panen kentang tergantung pada varietasnya dan biasanya berlangsung antara 60-100 hari setelah penanaman.,,
,,,"4. Untuk mengawetkan kentang, segera setelah menggali kentang, letakkan mereka di tempat yang sejuk, kering, teduh, dan memiliki ventilasi yang baik seperti garasi atau beranda yang teduh. Biarkan kentang di sana selama minimal 3 hari hingga 2 minggu agar kulitnya matang dan dapat disimpan lebih lama. Hindari mengawetkan kentang baru karena sebaiknya kentang tersebut dikonsumsi dalam beberapa hari setelah dipanen.",,
,,,"5. Setelah mengawetkan kentang, bersihkan sisa tanah dari kulit kentang dengan menggunakan lap atau sikat tanaman, hindari penggunaan air untuk mencucinya. Jangan mencuci kentang hingga siap dikonsumsi.",,
,,,"6. Simpan kentang yang telah diawetkan dan dibersihkan di tempat yang sejuk, kering, dan gelap seperti dalam karung atau kantong kertas. Letakkan kentang di gudang atau tempat yang terlindungi dari cahaya, panas, dan kelembapan dengan suhu ideal sekitar 2-4°C. Dengan cara ini, kentang dapat bertahan selama beberapa bulan.",,
Wortel ,Daucus carota,1. Memilih varietas,"1. Pilih varietas wortel yang sesuai dengan ukuran dan bentuk akar yang cocok untuk tanah Anda. Ada lima kategori utama wortel, yaitu Chantenay (tumbuh 12-15 cm, cocok untuk berbagai jenis tanah), tipe bola (mirip Chantenay tetapi tidak tumbuh dalam waktu lama), Danvers (bentuk besar, tanah padat), Nantes (silinder dengan ujung bulat, tanah subur dan dangkal), dan Imperator (panjang dengan akar kecil, tanah dalam, subur, sejuk, dan memiliki saluran air yang baik).",,
,,,"2. Pilih jenis bibit wortel yang telah dilapisi tanah liat untuk mempertahankan kelembapan selama perkecambahan dan memudahkan proses tumbuh. Bibit dengan lapisan tanah liat juga memungkinkan Anda mengontrol jarak tanam dengan lebih baik, mencegah tumbuhan menjadi kurus dalam proses pertumbuhannya.",,
,,2. Memeriksa area kebun,"1. Pilih area dengan jangkauan sinar matahari yang baik. Meskipun wortel akan tumbuh sempurna jika banyak disinari sinar matahari, namun wortel hidup pula dalam tempat yang teduh karena mereka adalah tanaman cuaca dingin.",,
,,,2. Pastikan tanah dapat dilonggarkan dengan menggunakan sekop dan menghilangkan batu atau tanah yang keras. Anda mungkin perlu membangun gundukan tanah menggunakan kayu cedar untuk menanam wortel agar tanah tetap padat dan tidak hancur ketika basah.,,
,,,"3. Periksa pH tanah Anda. Wortel menyukai tanah yang sedikit asam dengan pH antara 5,8 dan 6,8. Kantor penyuluhan pertanian lokal Anda harus memiliki formulir pengujian tanah, dan instruksi yang tersedia",,
,,,"4. Pupuk tanah dengan pupuk kandang, kompos, atau pupuk organik lainnya. Campurkan semuanya sekitar empat inci pupuk organik ke dalam tanah Anda. Ini akan membantu bibit berkecambah di tanah dan mendukung proses produksi.",,
,,3. menanam wortel,"1. Taburkan bibit wortel secara bertahap selama beberapa minggu sebelum musim semi terakhir karena wortel menyukai iklim yang sejuk. Pastikan tanah Anda telah dibajak dan gembur sebelum menanam, atau Anda dapat mencoba menumbuhkan wortel dalam pot dengan pot yang cukup dalam.",,
,,,"2. Sebarkan bibit secara acak atau berjajar. Jika penanaman secara berjajar, berikan ruang bibit sekitar sepuluh sentimeter secara terpisah dalam lubang yang dalamnya satu hingga 5 cm. Anda dapat menggunakan jari Anda untuk membuat lubang ke dalam tanah yang gembur. Tempatkan sekitar enam bibit pada setiap lubang.",,
,,,"3. Kubur bibit sekitar 1,3 cm pada tanah yang subur. Anda dapat menggunakan kompos, penanaman campuran tanah, dan bahkan campuran sedikit pasir, terutama di daerah yang lebih hangat. Pasir akan membantu dan mendukung bibit pertumbuhan.",,
,,,"4. Periksa bibit Anda. Bibit akan memakan waktu sekitar 1-3 minggu untuk tumbuh tergantung pada suhu tanah. Semakin dingin tanah, semakin lama bibit melakukan perkecambahan.",,
,,,"5. Periksa saluran air setelah menanam wortel. Bibit bersifat ringan, rapuh dan mudah hanyut jika Anda air terlalu banyak atau terlalu keras.",,
,,,"6. Bersihkan lahan tanam dengan garu. Seminggu setelah wortel ditanam, Anda boleh membersihkan lahannya perlahan-lahan untuk mencegah pertumbuhan gulma. Langkah ini akan bermanfaat untuk menghambat gulma berakar. Namun, berhati-hatilah saat membersihkan lahan dan gerakkan garu secara tegak lurus dengan alur tanaman. Dengan begitu, bibit wortel tidak akan rusak.",,
,,4. merawat tanaman wortel,"1. Jaga kelembapan tanah sepanjang waktu. Jika Anda berada di iklim yang panas, berarti anda harus menyiram tanaman wortel sepanjang hari. Dan pastikan untuk tidak menyiram bibit yang rapuh yang dapat mengganggu tumbuhnya bibit jika tekanan air terlalu kencang. Gunakan kaleng penyiram dengan corot yang halus, jangan menggunakan selang yang keras.",,
,,,"2. Gunakan mulsa seperti daun, kulit kayu, atau jerami di sekitar bibit wortel untuk menjaga kelembapan. Perhatikan untuk merawat mulsa dengan mencabut rumput liar secara perlahan agar tidak mengganggu akar wortel dan pastikan bagian wortel yang mulai tumbuh keluar dari tanah ditutup dengan mulsa untuk menghindari rasa pahit jika dikonsumsi.",,
,,,"3. Pangkas tanaman wortel setelah mencapai tinggi lima sentimeter untuk mengurangi kesesakan dan memberikan ruang yang cukup untuk pertumbuhan dan ekspansi akar. Setelah dua minggu, pangkas lagi tanaman wortel yang telah tumbuh beberapa sentimeter untuk memastikan pertumbuhan yang tegak dan optimal.",,
,,5. panen wortel,"1. Panen wortel saat mahkota sedikit keluar dari tanah dan diameter wortel sekitar 1,9 cm. Tarik wortel dari pangkal daun setelah melonggarkan tanah dengan air untuk menghindari kerusakan akar.",,
